,database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
0,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A14_C57_F1_s21_w1.TIF
1,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A04_C14_F1_s15_w2.TIF
2,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A22_C91_F1_s25_w1.TIF
3,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A13_C53_F1_s14_w2.TIF
4,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A23_C96_F1_s23_w1.TIF
5,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A07_C27_F1_s04_w1.TIF
6,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A05_C18_F1_s05_w2.TIF
7,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A08_C31_F1_s15_w2.TIF
8,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A07_C27_F1_s02_w2.TIF
9,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A21_C87_F1_s06_w1.TIF
10,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A11_C44_F1_s15_w1.TIF
11,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,nucleus,,f_nucleus,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A12_C48_F1_s22_w2.TIF
12,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A03_C10_F1_s01_w1.TIF
13,Broad Bioimage Benchmark Collection,Synthetic cells,human,u2os,cell body,,f_cell body,fluorescence,bbbc005,/ferrero/stan_data/bbbc005/synthetic_2_ground_truth,SIMCEPImages_A11_C44_F1_s02_w1.TIF
