database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 1-29-C-05-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 1-84-G-12-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 2-06-A-06-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 2-54-E-06-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 2-17-B-05-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 1-34-C-10-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 2-59-E-11-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 2-90-H-06-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 1-83-G-11-00.Bmp
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),human,mcf7|a549,nucleus,,f_nucleus,fluorescence,bbbc014,/ferrero/stan_data/bbbc014/BBBC014_v1_images,Channel 2-48-D-12-00.Bmp
