database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s1_w1D751105E-2D33-485F-9FF9-061C4CB2F27A.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s2_w102757319-E524-42CB-9884-F1608FFBD7EF.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s3_w1C34C84C5-9759-44F1-A58C-71C68E3DACE3.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s4_w1989087ED-86B8-4963-A226-D2C43031C52B.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s5_w149146F03-37BF-4E40-BFD1-67B77D560970.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s6_w1C534947C-DA3C-41F8-9E7B-8B00BD6631C2.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s7_w150566C02-F25A-47CA-83AC-666284039980.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s8_w16AD97844-587F-453A-85B3-EEEDF03BF7E0.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A01_s9_w1DDD103E4-D234-4696-A7C5-A0D17B92AEA4.png
Broad Bioimage Benchmark Collection,Human Hepatocyte and Murine Fibroblast cells – Co-culture experiment,human|mouse,hepatocyte|fibroblast,nucleus,,f_nucleus,fluorescence (?),bbbc026,/ferrero/stan_data/bbbc026,ADSASS092408-GHAD2-D6-20x_A03_s1_w12331389C-0911-4C7B-9D9D-CE01CC40B4D1.png
