database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_38359_333__4395__44_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_124250_1290__5909__49_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_110827_1810__6370__52_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_11666_3111__5885__23_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_93826_3058__3266__13_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_109121_1388__6831__47_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_104185_576__6124__52_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_30268_948__3891__40_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_115608_2515__5278__38_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_82181_1461__2888__48_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_52266_2059__2039__44_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_24486_1466__5005__29_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_53750_2586__2822__12_1.tif
Broad Bioimage Benchmark Collection,Human kidney cortex cells,human,collecting duct,nucleus,,f_nucleus,confocal,bbbc051,/ferrero/stan_data/bbbc051/CD_CNT/All_3D,object_53238_2593__2766__10_1.tif
