"compound",concentration,"moa"
"PP-2",3.000000,"Epithelial"
"emetine",0.300000,"Protein synthesis"
"AZ258",1.000000,"Aurora kinase inhibitors"
"cytochalasin B",10.000000,"Actin disruptors"
"ALLN",3.000000,"Protein degradation"
"mitoxantrone",0.010000,"DNA replication"
"AZ-C",0.300000,"Eg5 inhibitors"
"MG-132",3.000000,"Protein degradation"
"AZ841",0.300000,"Aurora kinase inhibitors"
"docetaxel",0.300000,"Microtubule stabilizers"
"AZ-C",0.030000,"Eg5 inhibitors"
"mitomycin C",3.000000,"DNA damage"
"PD-169316",10.000000,"Kinase inhibitors"
"docetaxel",0.030000,"Microtubule stabilizers"
"AZ-C",0.003000,"Eg5 inhibitors"
"proteasome inhibitor I",0.100000,"Protein degradation"
"mitomycin C",0.300000,"DNA damage"
"emetine",0.100000,"Protein synthesis"
"vincristine",1.000000,"Microtubule destabilizers"
"AZ138",0.300000,"Eg5 inhibitors"
"demecolcine",10.000000,"Microtubule destabilizers"
"vincristine",0.100000,"Microtubule destabilizers"
"mevinolin/lovastatin",1.500000,"Cholesterol-lowering"
"AZ138",3.000000,"Eg5 inhibitors"
"demecolcine",1.000000,"Microtubule destabilizers"
"vincristine",0.010000,"Microtubule destabilizers"
"mevinolin/lovastatin",15.000000,"Cholesterol-lowering"
"AZ-A",0.300000,"Aurora kinase inhibitors"
"alsterpaullone",3.000000,"Kinase inhibitors"
"etoposide",1.000000,"DNA damage"
"AZ-A",3.000000,"Aurora kinase inhibitors"
"etoposide",10.000000,"DNA damage"
"floxuridine",30.000000,"DNA replication"
"AZ-U",3.000000,"Epithelial"
"AZ-A",30.000000,"Aurora kinase inhibitors"
"simvastatin",2.000000,"Cholesterol-lowering"
"simvastatin",20.000000,"Cholesterol-lowering"
"anisomycin",1.000000,"Protein synthesis"
"nocodazole",3.000000,"Microtubule destabilizers"
"AZ-J",1.000000,"Epithelial"
"taxol",1.000000,"Microtubule stabilizers"
"camptothecin",0.003000,"DNA replication"
"epothilone B",0.100000,"Microtubule stabilizers"
"latrunculin B",3.000000,"Actin disruptors"
"camptothecin",0.030000,"DNA replication"
"epothilone B",1.000000,"Microtubule stabilizers"
"mitoxantrone",0.003000,"DNA replication"
"cyclohexamide",50.000000,"Protein synthesis"
"AZ-J",10.000000,"Epithelial"
"PP-2",10.000000,"Epithelial"
"cyclohexamide",5.000000,"Protein synthesis"
"MG-132",0.100000,"Protein degradation"
"AZ258",0.300000,"Aurora kinase inhibitors"
"methotrexate",10.000000,"DNA replication"
"cytochalasin B",30.000000,"Actin disruptors"
"ALLN",100.000000,"Protein degradation"
"proteasome inhibitor I",3.000000,"Protein degradation"
"emetine",1.000000,"Protein synthesis"
"AZ-C",1.000000,"Eg5 inhibitors"
"AZ841",0.100000,"Aurora kinase inhibitors"
"mitomycin C",1.000000,"DNA damage"
"docetaxel",0.100000,"Microtubule stabilizers"
"AZ-C",0.100000,"Eg5 inhibitors"
"AZ841",1.000000,"Aurora kinase inhibitors"
"mitomycin C",0.100000,"DNA damage"
"AZ-C",0.010000,"Eg5 inhibitors"
"AZ258",0.100000,"Aurora kinase inhibitors"
"PD-169316",3.000000,"Kinase inhibitors"
"AZ-C",0.001000,"Eg5 inhibitors"
"colchicine",0.030000,"Microtubule destabilizers"
"vincristine",3.000000,"Microtubule destabilizers"
"AZ138",0.100000,"Eg5 inhibitors"
"demecolcine",3.000000,"Microtubule destabilizers"
"vincristine",0.300000,"Microtubule destabilizers"
"AZ138",1.000000,"Eg5 inhibitors"
"demecolcine",0.300000,"Microtubule destabilizers"
"vincristine",0.030000,"Microtubule destabilizers"
"cisplatin",10.000000,"DNA damage"
"mevinolin/lovastatin",5.000000,"Cholesterol-lowering"
"AZ-A",0.100000,"Aurora kinase inhibitors"
"etoposide",3.000000,"DNA damage"
"DMSO",0.000000,"DMSO"
"vincristine",0.003000,"Microtubule destabilizers"
"AZ-A",1.000000,"Aurora kinase inhibitors"
"alsterpaullone",1.000000,"Kinase inhibitors"
"AZ-U",1.000000,"Epithelial"
"AZ-A",10.000000,"Aurora kinase inhibitors"
"simvastatin",6.000000,"Cholesterol-lowering"
"floxuridine",10.000000,"DNA replication"
"AZ-U",10.000000,"Epithelial"
"AZ138",0.030000,"Eg5 inhibitors"
"cytochalasin D",0.300000,"Actin disruptors"
"taxol",0.300000,"Microtubule stabilizers"
"anisomycin",0.300000,"Protein synthesis"
"nocodazole",1.000000,"Microtubule destabilizers"
"chlorambucil",10.000000,"DNA damage"
"taxol",3.000000,"Microtubule stabilizers"
"bryostatin",0.300000,"Kinase inhibitors"
"camptothecin",0.010000,"DNA replication"
"epothilone B",0.300000,"Microtubule stabilizers"
"latrunculin B",1.000000,"Actin disruptors"
"AZ-J",3.000000,"Epithelial"
"lactacystin",10.000000,"Protein degradation"
"cyclohexamide",15.000000,"Protein synthesis"
