database,name,link,organism,cell_type,cell_component,phenotype,segmented?,class_sizes,dataset_size,width,height,format,channels,microscopy,num_plates,notes,augmented?,dir_name,download,metadata_download
Kaggle,Malaria Cell Images Dataset,https://www.kaggle.com/iarunava/cell-images-for-detecting-malaria,human,red blood cell,,"['infected', 'uninfected']",True,"[13779, 13779]",27558,150.0,150.0,png,brightfield,brightfield,,Originally from NIH. Samples taken from 151 infected and 50 healthy patients in one hospital in Bangladesh.,,kag_malaria,kaggle datasets download -d iarunava/cell-images-for-detecting-malaria,
Kaggle,Blood Cell Images,https://www.kaggle.com/paultimothymooney/blood-cells ,human,"['red blood cell', 'white blood cell (eosinophil)', 'white blood cell (lymphocyte)', 'white blood cell (monocyte)', 'white blood cell (neutrophil)']",,,,"[410, 3125, 3125, 3125, 3125]",12500,350.0,440.0,jpg,brightfield,brightfield,,Augmented dataset of 12500 images comes from augmenting a smaller 410 image dataset. Source of image and WBC labeling is unclear. ,True,kag_blood_cell,kaggle datasets download -d paultimothymooney/blood-cells,
Kaggle,Human Protein Atlas - Single Cell Classification,https://www.kaggle.com/c/hpa-single-cell-image-classification/data,human,"['U-2 OS', 'U-251 MG', 'A-431', 'MCF7', 'HEK 293', 'RT4', 'Hep G2', 'PC-3', 'CACO-2', 'RH-30', 'A549', 'SH-SY5Y', 'HeLa', 'SiHa', 'SK-MEL-30', 'BJ', 'HaCaT']","['nucleus', 'nucleoplasm', 'nuclear membrane', 'nucleoli', 'nucleoli fibrillary center', 'nuclear speckles', 'nuclear bodies', 'ER', 'Golgi apparatus', 'intermediate filaments', 'actin filaments', 'microtubules', 'mitotic spindle', 'centrosome', 'plasma membrane', 'mitochondria', 'aggresome', 'cytosol', 'vesicles and punctate cytosolic patterns', 'negative']",,,"[22365, 8797, 1095, 2451, 1262, 1425, 1792, 775, 1846, 964, 998, 818, 78, 1734, 3111, 2013, 252, 5685, 593, 34]",22365,2283.0,2283.0,png,"['f_protein', 'f_microtubules', 'f_nucleus', 'f_ER']",confocal,,Protein channel is used to predict cellular component localization. Extra unlabaled data is located here: https://www.kaggle.com/philculliton/hpa-challenge-2021-extra-train-images ,,kag_hpa_single,kaggle competitions download -c hpa-single-cell-image-classification,
Kaggle,Human Protein Atlas Image Classification,https://www.kaggle.com/c/human-protein-atlas-image-classification/data,human,"['U-2 OS', 'U-251 MG', 'A-431', 'MCF7', 'HEK 293', 'RT4', 'Hep G2', 'PC-3', 'CACO-2', 'RH-30', 'A549', 'SH-SY5Y', 'HeLa', 'SiHa', 'SK-MEL-30', 'BJ', 'HaCaT']","['nucleus', 'nucleoplasm', 'nuclear membrane', 'nucleoli', 'nucleoli fibrillary center', 'nuclear speckles', 'nuclear bodies', 'ER', 'Golgi apparatus', 'peroxisomes', 'endosomes', 'lysosomes', 'intermediate filaments', 'actin filaments', 'focal adhesion sites', 'microtubules', 'microtubule ends', 'cytokinetic bridge', 'mitotic spindle', 'microtubule organizing center', 'centrosome', 'lipid droplets', 'plasma membrane', 'cell junctions', 'mitochondria', 'aggresome', 'cytosol', 'cytoplasmic bodies', 'rods & rings']",,,"[42774, 12885, 1254, 3621, 1561, 1858, 2513, 1008, 2822, 53, 45, 28, 1093, 688, 537, 1066, 21, 530, 210, 902, 1482, 172, 3777, 802, 2965, 322, 8228, 328, 11]",42774,512.0,512.0,png,"['f_protein', 'f_microtubules', 'f_nucleus', 'f_ER']",confocal,,Protein channel is used to predict cellular component localization. Number of nucleus channel images is added under cellular component.,,kag_hpa,kaggle competitions download -c human-protein-atlas-image-classification,
Kaggle,Identifying Cell Nuclei from Histology Images,https://www.kaggle.com/sandhaya4u/histology-image-dataset,human,,nucleus,,,33200,33200,256.0,256.0,png,f_nucleus,fluorescence,,Segmentation task,,kag_nuclei,kaggle datasets download -d sandhaya4u/histology-image-dataset,
Kaggle,Cell Cycle Experiments,https://www.kaggle.com/paultimothymooney/cell-cycle-experiments,nematode,,nucleus,"['interphase', 'mitosis']",,"[57, 33]",90,256.0,256.0,jpg,light,light,,FoldScope microscope is used. Images are captured by phone. ,,kag_cell_cycle,kaggle datasets download -d paultimothymooney/cell-cycle-experiments,
Broad Bioimage Benchmark Collection,Kaggle 2018 Data Science Bowl,https://bbbc.broadinstitute.org/BBBC038,human|mouse|fly,,nucleus,,,3754,3754,354.0,440.0,png,brightfield|fluorescence,brightfield/fluorescence,,"There is no label on whether image is of brightfield or fluorescence microscopy. Similarly, 22 unlabeled cell types are also present in the dataset. Organism is also varied. Original task is nuclei segmentation. ",,bbbc_data_bowl,"['https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip', 'https://data.broadinstitute.org/bbbc/BBBC038/stage1_test.zip', 'https://data.broadinstitute.org/bbbc/BBBC038/stage2_test_final.zip,https://data.broadinstitute.org/bbbc/BBBC038/metadata.xlsx', 'https://data.broadinstitute.org/bbbc/BBBC038/stage1_train_labels.csv', 'https://data.broadinstitute.org/bbbc/BBBC038/stage1_solution.csv', 'https://data.broadinstitute.org/bbbc/BBBC038/stage2_solution_final.csv']",
Kaggle,Bacteria detection with darkfield microscopy,https://www.kaggle.com/longnguyen2306/bacteria-detection-with-darkfield-microscopy,human|bacteria,red blood cell,,,,366,366,1060.0,900.0,png,darkfield,darkfield,,Imbalanced; more red blood cells than bacteria present in images. Original task is bacteria and RBC segmentation.,,kag_bacteria,kaggle datasets download -d longnguyen2306/bacteria-detection-with-darkfield-microscopy,
Kaggle,Leukemia Classification,https://www.kaggle.com/andrewmvd/leukemia-classification,human,"['red blood cell', 'white blood cell']",,"['wildtype', 'B-lineage acute lymphoblastic leukemia']",True,"[4037, 8491]",15135,450.0,450.0,bmp,brightfield,brightfield,,Images taken from bone marrow samples of 118 patients.,,kag_leukemia,kaggle datasets download -d andrewmvd/leukemia-classification,
Berkeley Drosophila Genome Project,Patterns of gene expression in Drosophila embryogenesis,https://insitu.fruitfly.org/cgi-bin/ex/insitu.pl?t=html&p=downloads,fly,embryo,,"['no staining', 'ubiquitous', 'maternal', 'faint ubiquitous', 'embryonic midgut', 'embryonic brain', 'ventral nerve cord', 'trunk mesoderm primordium', 'posterior midgut primordium', 'anterior midgut primordium', 'brain primordium', 'embryonic hindgut', 'cellular blastoderm', 'ventral nerve cord primordium', 'yolk nuclei', 'embryonic dorsal epidermis', 'posterior endoderm primordium', 'embryonic/larval muscle system', 'anterior endoderm primordium', 'embryonic ventral epidermis', 'head mesoderm primordium P2', 'trunk mesoderm primordium P2', 'embryonic central nervous system', 'hindgut proper primordium', 'amnioserosa', 'strong ubiquitous', 'posterior endoderm primordium P2', 'head mesoderm primordium P4', 'dorsal prothoracic pharyngeal muscle', 'anterior endoderm anlage', 'foregut primordium', 'ventral nerve cord primordium P3', 'embryonic head epidermis', 'germ cell', 'dorsal ectoderm primordium', 'embryonic/larval visceral muscle', 'embryonic foregut', 'procephalic ectoderm primordium', 'embryonic/larval somatic muscle', 'pole cell', 'subset', 'ventral ectoderm primordium P2', 'dorsal epidermis primordium', 'flag_for_volker', 'embryonic proventriculus', 'embryonic anal pad', 'lateral cord neuron', 'embryonic hypopharynx', 'embryonic Malpighian tubule', 'head mesoderm primordium', 'procephalic ectoderm anlage', 'embryonic epipharynx', 'embryonic central brain neuron', 'ventral epidermis primordium', 'somatic muscle primordium', 'lateral cord glia', 'embryonic central brain glia', 'visceral muscle primordium', 'embryonic/larval tracheal system', 'gonad', 'embryonic/larval fat body', 'sensory system head', 'inclusive hindgut primordium', 'ventral ectoderm primordium', 'dorsal ectoderm anlage in statu nascendi', 'embryonic salivary gland', 'salivary gland body primordium', 'embryonic/larval posterior spiracle', 'procephalic ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'muscle system primordium', 'rapidly degraded', 'hindgut anlage', 'embryonic midgut chamber', 'atrium', 'ventral midline', 'dorsal pharyngeal muscle primordium', 'embryonic esophagus', 'Malpighian tubule primordium', 'ventral nerve cord anlage', 'dorsal/lateral sensory complexes', 'anlage in statu nascendi', 'tracheal primordium', 'sensory nervous system primordium', 'ventral sensory complex primordium', 'embryonic/larval garland cell', 'central brain primordium P3', 'embryonic large intestine', 'clypeo-labral primordium', 'fat body/gonad primordium', 'neuroblasts of ventral nervous system', 'plasmatocytes anlage', 'pole plasm', 'ring gland', 'embryonic salivary gland body', 'salivary gland primordium', 'gap', 'posterior endoderm anlage in statu nascendi', 'lymph gland', 'embryonic/larval dorsal vessel', 'embryonic gastric caecum', 'midline primordium', 'garland cell primordium', 'longitudinal visceral mesoderm primordium', 'mesectoderm primordium', 'procephalic neuroblasts', 'crystal cell', 'anterior endoderm anlage in statu nascendi', 'mesoderm anlage in statu nascendi', 'segmentally repeated', 'plasmatocytes', 'visual primordium', 'apically cleared', 'foregut anlage', 'labral sensory complex', 'head epidermis dorsal', 'proventriculus primordium', 'procrystal cell', 'embryonic/larval dorsal trunk', 'posterior spiracle specific anlage', 'amnioserosa primordium', 'embryonic antennal sense organ', 'foregut anlage in statu nascendi', 'hindgut anlage in statu nascendi', 'head epidermis primordium P1', 'ventral midline glia', 'embryonic central brain surface glia', 'embryonic/larval oenocyte', 'embryonic maxillary sensory complex', 'trunk mesoderm anlage in statu nascendi', 'embryonic optic lobe primordium', 'embryonic optic lobe', 'embryonic labial sensory complex', ""embryonic Bolwig's organ"", 'embryonic stomatogastric nervous system', 'dorsal/lateral sensory complexes primordium', 'visual anlage', 'anal pad specific anlage', 'amnioserosa anlage', 'atrium primordium', 'ectoderm anlage in statu nascendi', 'amnioserosa anlage in statu nascendi', 'embryonic proventriculus inner layer', 'embryonic midgut interstitial cell', 'embryonic rectum', 'lateral cord surface glia', 'embryonic salivary gland duct', 'sensory nervous system specific anlage', 'visual anlage in statu nascendi', 'head mesoderm anlage in statu nascendi', 'ventral sensory complex specific anlage', 'clypeolabrum', 'stomatogastric nervous system primordium', 'maxillary sensory complex primordium', 'cardiac mesoderm primordium', 'endoderm anlage in statu nascendi', 'embryonic/larval visceral branch', 'clypeolabrum primordium P2', 'embryonic dorsal apodeme', 'labial sensory complex primordium', 'embryonic proventriculus outer layer', 'lateral cord', 'adult hindgut precursor', 'embryonic foregut sensory structure', 'gnathal primordium', 'longitudinal visceral muscle fibers', 'embryonic central brain', 'embryonic small intestine', 'labral sensory complex primordium', 'antennal primordium1', 'embryonic/larval circulatory system', 'embryonic ventral apodeme', 'apoptotic amnioserosa', 'embryonic/larval pericardial cell', 'fat body specific anlage', 'pars intercerebralis primordium', 'visceral muscle of esophagus', 'embryonic/larval anterior spiracle', 'central brain anlage', 'hypopharynx primordium P1', 'embryonic salivary gland common duct', 'embryonic main segment of Malpighian tubule', 'procephalon primordium', 'clypeolabrum anlage', 'dorsal epidermis anlage', 'embryonic central brain pars intercerebralis', 'mesectoderm anlage in statu nascendi', 'circular visceral muscle fibers', 'embryonic ganglion mother cell', 'ventral imaginal precursor', 'ventral epidermis primordium P2', 'gonadal sheath', 'large intestine specific anlage', 'pair rule', 'adult midgut precursor', 'clypeolabrum anlage in statu nascendi', 'dorsal ectoderm anlage', 'embryonic/larval dorsal branch', 'embryonic corpus allatum', 'pair_rule', 'embryonic proventriculus intermediate layer', 'ventral ectoderm anlage', 'yolk', 'embryonic leading edge cell', 'crystal cell specific anlage', 'head visceral muscle primordium', 'dorsal vessel specific anlage', 'head epidermis dorsal anlage in statu nascendi', 'trunk mesoderm anlage', 'need new term(localised)', 'embryonic central brain mushroom body', 'dorsal trunk specific anlage', 'hypopharynx primordium P2', 'neuroblasts of central brain', 'head epidermis dorsal primordium P4', 'head epidermis dorsal primordium P1', 'antennal primordium2', 'head epidermis lateral primordium P2', 'adult eye primordium', 'salivary duct primordium', 'flag_as_nonspecific', 'embryonic Malpighian tubule tip cell', 'hindgut proper anlage', 'gnathal lobes anlage', 'need new term(larval eye primordium)', 'dorsal imaginal precursor', 'posterior', 'ventral midline neuron', 'head mesoderm anlage', 'Malpighian tubule main body primordium', 'epipharynx primordium P1', 'prothoracic gland', 'circular visceral mesoderm primordium', 'tracheal system anlage', 'hypopharynx anlage', 'embryonic leading edge cell specific anlage', 'esophagus primordium P1', 'head epidermis dorsal anlage', 'ventral midline neuroblast', 'plasmatocytes primordium', 'adult foregut precursor', 'small intestine specific anlage', 'pericardial cell specific anlage', 'anterior', 'visceral branch specific anlage', 'rectum specific anlage', 'hypopharynx anlage in statu nascendi', 'ventral imaginal precursor specific anlage', 'visual primordium2', 'primary segmental branch specific anlage', 'dorsal ridge', 'central brain anlage in statu nascendi', 'hypopharyngeal sense organ primordium', 'head epidermis ventral', 'Malpighian tubule anlage', 'hypopharyngeal sense organ', 'anterior endoderm anterior anlage', 'embryonic frontal ganglion', 'embryonic tracheole', 'dorsal apodeme specific anlage', 'antennal primordium anlage', 'proventriculus primordium P2', 'adult muscle precursor primordium', 'embryonic esophageal ganglion', 'ring gland primordium', 'head epidermis lateral', 'dorsal ridge primordium P1', 'head epidermis anlage in statu nascendi', 'lymph gland specific anlage', 'dorsal histoblast nest abdominal', 'anterior spiracle specific anlage', 'head epidermis lateral A', 'stomatogastric nervous system primordium P2', 'esophagus primordium P2', 'embryonic inner optic lobe primordium', 'oenocyte specific anlage', 'dorsal metathoracic disc', 'head epidermis lateral primordium P1', 'dorsal imaginal precursor specific anlage', 'fertilized egg', 'interstitial cells primordium', 'anterior adult midgut precursors primordium', 'posterior adult midgut precursors primordium', 'dorsal mesothoracic disc', 'salivary gland anlage', 'proventriculus anlage', 'dorsomedial neurosecretory cell', 'glioblasts of ventral nervous system', 'labial complex specific anlage', 'corpus allatum primordium', 'middle', 'main segment of Malpighian tubule specific anlage', 'embryonic hypocerebral ganglion', 'antennal primordium anlage in statu nascendi', 'posterior endoderm anlage', 'ventral apodeme specific anlage', 'maxillary organ specific anlage', 'Malpighian tubule tip cell primordium', 'embryonic inner optic lobe', 'mushroom body primordium', 'corpus cardiacum primordium', 'adult salivary primordium', 'visual system', 'adult clypeo-labral primordium', 'head epidermis ventral P2', 'procephalic glioblasts', 'epi_combo', 'head epidermis ventral P1', 'posterior adult midgut precursors', 'salivary gland duct specific anlage', 'macrophage', 'mesectoderm anlage', 'procephalon', 'imaginal tracheal precursor', 'cuprophilic cells primordium', 'esophagus anlage', 'tracheole specific anlage', 'procephalic vascular rudiment', 'embryonic proventricular ganglion', 'anterior endoderm anterior primordium', 'embryonic outer optic lobe', 'dorsal ridge anlage', 'salivary common duct primordium', 'anterior adult midgut precursors', 'segment polarity', 'esophageal ganglion primordium', 'embryonic outer optic lobe primordium', 'adult clypeolabrum anlage', 'adult hindgut specific anlage', 'embryonic cortex', 'embryonic dorsal pouch primordium', 'gastric caecum primordium']",,"[24510, 9564, 6247, 3966, 1782, 1432, 1431, 1424, 1341, 1289, 937, 912, 898, 895, 818, 769, 754, 720, 719, 694, 656, 622, 611, 591, 590, 556, 554, 548, 519, 511, 506, 505, 499, 480, 452, 450, 444, 438, 416, 408, 403, 399, 393, 380, 376, 368, 364, 364, 358, 356, 349, 347, 340, 329, 328, 327, 325, 318, 317, 316, 311, 311, 306, 304, 278, 277, 275, 257, 251, 246, 240, 239, 239, 237, 226, 223, 211, 207, 205, 202, 197, 195, 194, 194, 188, 180, 170, 168, 155, 152, 139, 137, 136, 131, 128, 127, 126, 125, 120, 117, 115, 113, 113, 112, 112, 111, 110, 109, 106, 105, 101, 97, 97, 96, 95, 95, 91, 90, 87, 87, 84, 83, 82, 81, 80, 79, 77, 77, 75, 69, 68, 66, 66, 66, 64, 63, 62, 62, 62, 61, 61, 60, 60, 60, 58, 57, 57, 56, 56, 56, 53, 53, 53, 51, 50, 50, 50, 48, 46, 46, 46, 46, 45, 45, 44, 44, 42, 42, 41, 41, 40, 40, 38, 38, 38, 37, 36, 36, 35, 35, 35, 35, 34, 34, 34, 33, 33, 32, 32, 32, 31, 31, 31, 31, 30, 29, 29, 28, 28, 28, 28, 27, 26, 26, 23, 22, 21, 21, 21, 21, 20, 19, 18, 18, 18, 18, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 16, 16, 16, 16, 15, 15, 15, 15, 15, 14, 14, 14, 13, 13, 13, 12, 12, 12, 11, 10, 10, 9, 9, 9, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",140464,4096.0,2924.0,jpg,brightfield (?),brightfield (?),,LacZ reporter for 8537 genes. Segmentation annotations are available.,,bdgp_drosophila,ftp://ftp.fruitfly.org/pub/insitu_image_storage,
VISTA Enhancer Browser,VISTA Enhancer Browser; a database of tissue-specific human enhancers,https://enhancer.lbl.gov/gallery_n.html,mouse,embryo,"['Forebrain', 'Midbrain', 'Hindbrain', 'Neural Tube', 'Eye', 'Ear', 'Dorsal Root Ganglia', 'Trigeminal', 'Cranial Nerves', 'Heart', 'Tail', 'Limb', 'Nose', 'Face', 'Branchial Arch']",,,,100,1800.0,1250.0,jpg,brightfield (?),brightfield (?),,Human and mouse non-coding sequences were introduced to test for enhancer activity. Stains for gene expression.,,vista_mouse,,
Broad Bioimage Benchmark Collection,Cell Cycle Jurkat Cells ,https://bbbc.broadinstitute.org/BBBC048,human,jurkat,nucleus,"['G1', 'S', 'G2', 'Prophase', 'Metaphase', 'Anaphase', 'Telophase ']",,"[14333, 8616, 8601, 606, 68, 15, 27]",32266,66.0,66.0,jpg,"['f_nucleus', 'brightfield', 'darkfield']","['fluorescence', 'brightfield', 'darkfield']",,"According to authors, fluorescent markers might affect the biological process under study, so their model is trained without fluorescence. Images are captured via imaging flow cytometry.",,bbbc_jurkat,"['https://data.broadinstitute.org/bbbc/BBBC048/BBBC048v1.zip', 'https://data.broadinstitute.org/bbbc/BBBC048/Ground_truth.lst']",
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),https://bbbc.broadinstitute.org/BBBC006,human,U-2 OS,"['nuclei', 'actin']",,,"[52225, 52225]",52225,520.0,696.0,tiff,"['f_nucleus', 'f_actin']",confocal (?),1.0,"Task is to segment nuclei (count cells), given in focus and out of focus images.",,bbbc_u2os_focus,https://data.broadinstitute.org/bbbc/BBBC006/BBBC006_v1_images_z_16.zip,
Broad Bioimage Benchmark Collection,Human U2OS cells – RNAi Cell Painting experiment,https://bbbc.broadinstitute.org/BBBC025,human,U-2 OS,"['ER', 'nucleoli', 'RNA', 'nuclei', 'mitochondria', 'actin filaments', 'Golgi apparatus', 'plasma membrane']",,,"[27000, 27000, 27000, 27000, 27000, 27000, 27000, 27000]",27000,1080.0,1080.0,tiff,"['f_er', 'f_nucleoli|f_cytoplasmic RNA', 'f_nucleus', 'f_mitochondria', 'f_actin|f_golgi|f_plasma_membrane']",confocal (?),8.0,Experiment attempted to induce gene knockdown via 315 unique RNAi. Components are from channel.,,bbbc_u2os_rnai,"['https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/37983_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/37983_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/37983_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/37983_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/37983_PhGolgi.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38002_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38002_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38002_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38002_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38002_PhGolgi.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38003_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38003_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38003_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38003_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38003_PhGolgi.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38004_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38004_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38004_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38004_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38004_PhGolgi.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38005_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38005_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38005_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38005_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38005_PhGolgi.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38006_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38006_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38006_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38006_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38006_PhGolgi.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38030_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38030_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38030_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38030_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38030_PhGolgi.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38034_ERSyto.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38034_ERSytoBleed.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38034_Hoechst.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38034_Mito.tar.gz', 'https://data.broadinstitute.org/bbbc/BBBC025/DatasetS8/38034_PhGolgi.tar.gz']",
Broad Bioimage Benchmark Collection,Nuclei of U2OS cells in a chemical screen,https://bbbc.broadinstitute.org/BBBC039,human,U-2 OS,nuclei,,,200,200,696.0,520.0,tiff,f_nucleus,fluorescence,20.0,"Chemical screen was performed. However, labels are not available for phenotype.",,bbbc_u2os_screen,"['https://data.broadinstitute.org/bbbc/BBBC039/images.zip', 'https://data.broadinstitute.org/bbbc/BBBC039/metadata.zip']",
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation,https://bbbc.broadinstitute.org/BBBC013,human,U-2 OS,nucleus,,,96,96,640.0,640.0,bmp,f_nucleus,fluorescence,1.0,Excluded channel (FKHR-EGFP) which is localized in nucleus or cytoplasm. Inhibition of nuclear export by two compounds leads to accumulation of FKHR-EGFP in the nucleus.,,bbbc_u2os_trans,https://data.broadinstitute.org/bbbc/BBBC013/BBBC013_v1_images_bmp.zip,
Broad Bioimage Benchmark Collection,Human U2OS cells cytoplasm–nucleus translocation (2),https://bbbc.broadinstitute.org/BBBC014,human,"['MCF7', 'A549']",nucleus,,,96,96,1360.0,1024.0,bmp,f_nucleus,fluorescence,1.0,Excluded channel of transcription factor NFKB. Localization in the nucleus or cytoplasm is tested against varying concentration of TNFa.,,bbbc_u2os_trans_2,https://data.broadinstitute.org/bbbc/BBBC014/BBBC014_v1_images.zip,
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,https://bbbc.broadinstitute.org/BBBC015,human,U-2 OS,"['nucleus', 'gpcr']",,,"[144, 144]",144,1000.0,768.0,jpg,"['f_nucleus', 'f_gpcr']",fluorescence,1.0,"2nd channel is GFP-stained arrestin, which may be in the cytoplasm. Beta adrenergic receptor modification causes vesicle-like spots in the cytoplasm when stimulated.",,bbbc_u2os_transfluor,https://data.broadinstitute.org/bbbc/BBBC015/BBBC015_v1_images.zip,
