database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,001.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,002.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,003.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,004.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,005.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,006.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,007.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,008.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,009.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,010.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,011.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,012.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,013.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,014.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,015.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,016.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,017.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,018.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,019.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,020.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,021.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,022.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,023.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,024.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,025.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,026.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,027.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,028.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,029.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,030.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,031.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,032.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,033.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,034.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,035.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,036.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,037.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,038.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,039.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,040.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,041.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,042.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,043.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,044.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,045.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,046.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,047.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,048.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,049.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,050.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,051.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,052.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,053.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,054.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,055.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,056.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,057.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,058.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,059.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,060.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,061.png
Kaggle,Bacteria detection with darkfield microscopy,human|bacteria,red blood cell,,,darkfield,darkfield,kag_bacteria,/ferrero/stan_data/kag_bacteria,062.png
