ID,Label
5c27f04c-bb99-11e8-b2b9-ac1f6b6435d0,8|5|0
5fb643ee-bb99-11e8-b2b9-ac1f6b6435d0,14|0
60b57878-bb99-11e8-b2b9-ac1f6b6435d0,6|1
5c1a898e-bb99-11e8-b2b9-ac1f6b6435d0,16|10
5b931256-bb99-11e8-b2b9-ac1f6b6435d0,14|0
5e22a522-bb99-11e8-b2b9-ac1f6b6435d0,0
5f79a114-bb99-11e8-b2b9-ac1f6b6435d0,14
5c68183e-bb99-11e8-b2b9-ac1f6b6435d0,13|0
5dd74816-bb99-11e8-b2b9-ac1f6b6435d0,12|0
5c801c04-bb99-11e8-b2b9-ac1f6b6435d0,14
5e9afd56-bb99-11e8-b2b9-ac1f6b6435d0,0
5f1af6b4-bb99-11e8-b2b9-ac1f6b6435d0,3
5ffaea8a-bb99-11e8-b2b9-ac1f6b6435d0,7|2
5fb9edb4-bb99-11e8-b2b9-ac1f6b6435d0,9
60bfc742-bb99-11e8-b2b9-ac1f6b6435d0,5
5f005cfa-bb99-11e8-b2b9-ac1f6b6435d0,12
5beb608c-bb99-11e8-b2b9-ac1f6b6435d0,6
636e164c-bb99-11e8-b2b9-ac1f6b6435d0,3
5b99d3e8-bb99-11e8-b2b9-ac1f6b6435d0,13
61ef3044-bb99-11e8-b2b9-ac1f6b6435d0,9|16|0|13
5b88d5e8-bb99-11e8-b2b9-ac1f6b6435d0,14|2
6074a6a4-bb99-11e8-b2b9-ac1f6b6435d0,0
6388d7d4-bb99-11e8-b2b9-ac1f6b6435d0,15|0
64ab5506-bb99-11e8-b2b9-ac1f6b6435d0,2
643f73a4-bb99-11e8-b2b9-ac1f6b6435d0,14
66552404-bb99-11e8-b2b9-ac1f6b6435d0,13
6795f08c-bb99-11e8-b2b9-ac1f6b6435d0,1|0
670096d6-bb99-11e8-b2b9-ac1f6b6435d0,8
6843322e-bb99-11e8-b2b9-ac1f6b6435d0,9|0
6c3b163a-bb99-11e8-b2b9-ac1f6b6435d0,16|0
68ad8444-bb99-11e8-b2b9-ac1f6b6435d0,3
6a87e840-bb99-11e8-b2b9-ac1f6b6435d0,2|13
6a959c74-bb99-11e8-b2b9-ac1f6b6435d0,14|4
6a70893e-bb99-11e8-b2b9-ac1f6b6435d0,3
6d856b08-bb99-11e8-b2b9-ac1f6b6435d0,4
6afe63b2-bb99-11e8-b2b9-ac1f6b6435d0,8
6a54e864-bb99-11e8-b2b9-ac1f6b6435d0,16|0
7072246e-bb99-11e8-b2b9-ac1f6b6435d0,13
6f2690b8-bb99-11e8-b2b9-ac1f6b6435d0,10
739453ba-bb99-11e8-b2b9-ac1f6b6435d0,6
6f303dfc-bb99-11e8-b2b9-ac1f6b6435d0,5
6f9cfc08-bb99-11e8-b2b9-ac1f6b6435d0,16|13
